Date,target,predicted
2017-05-18,81.75,81.82960000000003
2017-05-19,81.93,81.90980000000009
2017-05-20,81.93,81.93090000000011
2017-05-21,81.93,82.00171428571437
2017-05-22,82.29,82.31789999999997
2017-05-23,82.58,82.41999999999996
2017-05-24,82.29,82.18879999999997
2017-05-25,81.75,81.72870000000005
2017-05-26,81.55,81.57790000000011
2017-05-27,81.55,81.55400000000013
2017-05-28,81.55,81.53650000000013
2017-05-29,81.55,81.37900000000013
2017-05-30,81.1,81.03900000000013
2017-05-31,80.5,80.78700000000006
2017-06-01,80.7,80.43409999999989
2017-06-02,79.5,79.84029999999996
2017-06-03,79.5,79.5182
2017-06-04,79.5,79.64129999999999
2017-06-05,80.12,80.35459999999993
2017-06-06,81.21,81.05749999999999
2017-06-07,80.91,80.89879999999992
2017-06-08,80.62,81.04689999999995
2017-06-09,82.13,82.05430000000005
2017-06-10,82.13,82.17800000000007
2017-06-11,82.13,82.40630000000006
2017-06-12,82.93,82.83910000000007
2017-06-13,82.96,82.69030000000001
2017-06-14,82.07,82.21109999999997
2017-06-15,82.26,82.54970000000003
2017-06-16,83.49,83.13219999999993
2017-06-17,83.49,83.40789999999984
2017-06-18,83.49,83.25689999999992
2017-06-19,82.76,82.60020000000011
2017-06-20,82.31,82.0735000000001
2017-06-21,81.44,81.41599999999988
2017-06-22,81.08,81.26779999999991
2017-06-23,81.61,81.46539999999987
2017-06-24,81.61,81.62749999999987
2017-06-25,81.61,81.56699999999987
2017-06-26,81.24,81.23299999999986
2017-06-27,81.11,81.17799999999987
2017-06-28,81.53,81.3194999999999
2017-06-29,80.7,80.83979999999985
2017-06-30,80.73,80.84879999999984
2017-07-01,80.73,80.94529999999985
2017-07-02,80.73,81.02749999999988
2017-07-03,82.1,81.82420000000013
2017-07-04,82.1,81.70210000000009
2017-07-05,80.85,80.7277000000001
2017-07-06,80.12,80.19709999999996
2017-07-07,80.22,80.21390000000002
2017-07-08,80.22,80.30620000000008
2017-07-09,80.22,80.30900000000008
2017-07-10,80.16,80.24349999999997
2017-07-11,80.6,80.52730000000008
2017-07-12,80.96,80.83810000000004
2017-07-13,80.97,80.98540000000003
2017-07-14,81.28,81.18379999999993
2017-07-15,81.28,81.26939999999992
2017-07-16,81.28,81.24739999999991
2017-07-17,80.86,80.9316999999999
2017-07-18,80.6,80.70830000000005
2017-07-19,80.85,80.78400000000012
2017-07-20,80.86,80.76859999999994
2017-07-21,80.12,80.31189999999991
2017-07-22,80.12,80.15599999999992
2017-07-23,80.12,80.10349999999991
2017-07-24,79.87,80.01209999999995
2017-07-25,80.27,80.17750000000005
2017-07-26,80.37,80.35989999999998
2017-07-27,80.83,80.54289999999997
2017-07-28,79.6,79.91750000000009
2017-07-29,79.6,79.67960000000014
2017-07-30,79.6,79.69550000000012
2017-07-31,80.04,79.94640000000001
2017-08-01,80.17,80.29170000000006
2017-08-02,80.6,80.46370000000009
2017-08-03,80.49,80.47009999999992
2017-08-04,80.21,80.2718
2017-08-05,80.21,80.18580000000003
2017-08-06,80.21,80.16650000000003
2017-08-07,80.16,80.14559999999994
2017-08-08,79.96,79.98499999999999
2017-08-09,80.21,79.95360000000002
2017-08-10,78.97,79.27760000000006
2017-08-11,78.21,78.49250000000005
2017-08-12,78.21,78.24820000000003
2017-08-13,78.21,78.20990000000002
2017-08-14,78.23,78.1274999999999
2017-08-15,78.04,77.98049999999996
2017-08-16,77.47,77.50480000000007
2017-08-17,76.26,76.63990000000013
2017-08-18,76.64,76.56940000000013
2017-08-19,76.64,76.67060000000014
2017-08-20,76.64,76.68242333333335
2017-08-21,76.38,76.45720578388931
2017-08-22,76.74,76.45720578388931
2017-08-23,76.61,76.45720578388931
2017-08-24,76.33,76.45720578388931
2017-08-25,76.72,76.45720578388931
2017-08-26,76.72,76.68242333333335
2017-08-27,76.72,76.68242333333335
2017-08-28,76.47,76.45720578388931
2017-08-29,76.45,76.45720578388931
2017-08-30,76.1,76.45720578388931
2017-08-31,76.33,76.45720578388931
2017-09-01,76.57,79.07975941013235
2017-09-02,76.57,78.28931863275614
2017-09-03,76.57,78.28931863275614
2017-09-04,76.57,78.28931863275614
2017-09-05,77.18,79.07975941013235
2017-09-06,78.78,79.07975941013235
2017-09-07,79.03,79.07975941013235
2017-09-08,78.82,79.07975941013235
2017-09-09,78.82,78.28931863275614
2017-09-10,78.82,78.28931863275614
2017-09-11,79.25,79.07975941013235
2017-09-12,79.5,79.07975941013235
2017-09-13,79.77,79.07975941013235
2017-09-14,80.09,79.07975941013235
2017-09-15,80.07,79.07975941013235
2017-09-16,80.07,78.28931863275614
2017-09-17,80.07,78.28931863275614
2017-09-18,80.09,79.07975941013235
2017-09-19,80.22,79.07975941013235
2017-09-20,80.55,80.1524506751093
2017-09-21,79.89,79.94535222222234
2017-09-22,79.92,79.9513300000001
2017-09-23,79.92,79.8479952380953
2017-09-24,79.92,80.17048333333334
2017-09-25,80.98,80.90372999999991
2017-09-26,80.89,81.09960000000007
2017-09-27,81.43,81.57680000000003
2017-09-28,82.19,82.03819999999988
2017-09-29,81.98,81.93369999999985
2017-09-30,81.98,81.88149999999982
2017-10-01,81.98,81.83499999999994
