,Date,Stock Price,Stock Price Present
412,2018-04-24,78.35,1
413,2018-04-25,79.5,1
414,2018-04-26,80.86,1
415,2018-04-27,77.79,1
416,2018-04-28,77.79,0
417,2018-04-29,77.79,0
418,2018-04-30,77.75,1
419,2018-05-01,76.95,1
420,2018-05-02,76.8,1
421,2018-05-03,76.54,1
422,2018-05-04,76.9,1
423,2018-05-05,76.9,0
424,2018-05-06,76.9,0
425,2018-05-07,77.74,1
426,2018-05-08,78.09,1
427,2018-05-09,79.93,1
428,2018-05-10,81.72,1
429,2018-05-11,81.28,1
430,2018-05-12,81.28,0
431,2018-05-13,81.28,0
432,2018-05-14,81.83,1
433,2018-05-15,81.79,1
434,2018-05-16,82.02,1
435,2018-05-17,81.88,1
436,2018-05-18,81.3,1
437,2018-05-19,81.3,0
438,2018-05-20,81.3,0
439,2018-05-21,82.28,1
440,2018-05-22,81.64,1
441,2018-05-23,82.15,1
442,2018-05-24,80.27,1
443,2018-05-25,78.71,1
444,2018-05-26,78.71,0
445,2018-05-27,78.71,0
446,2018-05-28,78.71,0
447,2018-05-29,78.42,1
448,2018-05-30,81.5,1
449,2018-05-31,81.24,1
450,2018-06-01,81.83,1
451,2018-06-02,81.83,0
452,2018-06-03,81.83,0
453,2018-06-04,80.97,1
454,2018-06-05,80.68,1
455,2018-06-06,82.06,1
456,2018-06-07,82.88,1
457,2018-06-08,83.6,1
458,2018-06-09,83.6,0
459,2018-06-10,83.6,0
460,2018-06-11,83.1,1
461,2018-06-12,82.42,1
462,2018-06-13,81.51,1
463,2018-06-14,81.89,1
464,2018-06-15,80.66,1
465,2018-06-16,80.66,0
466,2018-06-17,80.66,0
467,2018-06-18,80.82,1
468,2018-06-19,80.7,1
469,2018-06-20,80.45,1
470,2018-06-21,79.69,1
471,2018-06-22,81.38,1
472,2018-06-23,81.38,0
473,2018-06-24,81.38,0
474,2018-06-25,79.74,1
475,2018-06-26,80.64,1
476,2018-06-27,81.71,1
477,2018-06-28,81.97,1
478,2018-06-29,82.73,1
479,2018-06-30,82.73,0
480,2018-07-01,82.73,0
481,2018-07-02,81.76,1
482,2018-07-03,82.24,1
483,2018-07-04,82.24,0
484,2018-07-05,82.31,1
485,2018-07-06,82.33,1
486,2018-07-07,82.33,0
487,2018-07-08,82.33,0
488,2018-07-09,82.9,1
489,2018-07-10,83.66,1
490,2018-07-11,82.59,1
491,2018-07-12,82.69,1
492,2018-07-13,83.31,1
493,2018-07-14,83.31,0
494,2018-07-15,83.31,0
495,2018-07-16,82.49,1
496,2018-07-17,82.31,1
497,2018-07-18,82.22,1
498,2018-07-19,82.01,1
499,2018-07-20,81.4,1
500,2018-07-21,81.4,0
501,2018-07-22,81.4,0
502,2018-07-23,81.4,1
503,2018-07-24,83.01,1
504,2018-07-25,83.59,1
505,2018-07-26,84.24,1
506,2018-07-27,81.92,1
507,2018-07-28,81.92,0
508,2018-07-29,81.92,0
509,2018-07-30,81.74,1
510,2018-07-31,81.51,1
511,2018-08-01,80.39,1
512,2018-08-02,79.91,1
513,2018-08-03,80.2,1
514,2018-08-04,80.2,0
515,2018-08-05,80.2,0
516,2018-08-06,80.18,1
517,2018-08-07,81.27,1
518,2018-08-08,80.73,1
519,2018-08-09,80.32,1
520,2018-08-10,79.42,1
